State,Number of drivers involved in fatal collisions per billion miles,Percentage Of Drivers Involved In Fatal Collisions Who Were Speeding,Percentage Of Drivers Involved In Fatal Collisions Who Were Alcohol-Impaired,Percentage Of Drivers Involved In Fatal Collisions Who Were Not Distracted,Percentage Of Drivers Involved In Fatal Collisions Who Had Not Been Involved In Any Previous Accidents,Car Insurance Premiums ($),Losses incurred by insurance companies for collisions per insured driver ($),AverageTemperatureF,AverageTemperatureAvgAnnualPrecipitationIn,AverageTemperatureAvgHighF,AverageTemperatureAvgLowF,PercentHighSchoolOrHigher,PercentBachelorsOrHigher,PoliticalPartiesDemocratLeanDem,PoliticalPartiesRepublicanLeanRep,PoliticalPartiesNoLean,party,AvgTemperatureC
Alabama,18.8,39,30,96,80,784.55,145.08,62.8,56.9,75,52.2,86.9,26.2,35,52,13,Republican,17.11111111111111
Alaska,18.1,41,25,90,94,1053.48,133.93,26.6,37.6,35.5,20.4,93.1,30,32,39,29,Republican,-2.999999999999999
Arizona,18.6,35,28,84,96,899.47,110.35,60.3,11.6,75.3,46.8,87.9,30.3,39,40,21,Republican,15.722222222222221
Arkansas,22.4,18,26,94,95,827.34,142.39,60.4,52.5,71.8,50.2,87.2,23.8,38,46,16,Republican,15.777777777777779
California,12,35,28,91,89,878.41,165.63,59.4,22.3,71.5,46.5,83.9,34.7,49,30,21,Democrat,15.222222222222221
Colorado,13.6,37,28,79,95,835.5,139.91,45.1,18,60,32.4,92.1,41.6,42,41,17,Democrat,7.277777777777778
Connecticut,10.8,46,36,87,82,1068.73,167.02,49,48.7,60,39.8,90.9,40,50,32,18,Democrat,9.444444444444445
Delaware,16.2,38,30,87,99,1137.87,151.48,55.3,45.9,66.1,46.3,90.6,32.7,55,29,17,Democrat,12.944444444444443
Florida,17.9,21,29,92,94,1160.13,144.18,70.7,54.4,81.9,60.9,88.5,30.5,44,37,19,Democrat,21.5
Georgia,15.6,19,25,95,93,913.15,142.8,63.5,50.4,75.6,52.7,87.9,32.2,41,41,18,Democrat,17.5
Hawaii,17.5,54,41,82,87,861.18,120.92,70,43.2,80.4,66.6,92.5,33.6,51,28,20,Democrat,21.11111111111111
Idaho,15.3,36,29,85,98,641.96,82.75,44.4,23.7,55.7,32.1,91.3,28.7,32,49,19,Republican,6.888888888888888
Illinois,12.8,36,34,94,96,803.11,139.15,51.8,40.7,62.7,42.6,89.7,35.5,48,33,19,Democrat,10.999999999999998
Indiana,14.5,25,29,95,95,710.46,108.92,51.7,43.6,62.5,42.2,89.3,27.2,37,42,20,Republican,10.944444444444446
Iowa,15.7,17,25,97,87,649.06,114.47,47.8,35.6,58.5,38.1,92.5,29.3,40,41,19,Republican,8.777777777777777
Kansas,17.8,27,24,77,85,780.45,133.8,54.3,29,67.5,42.6,91.4,33.9,31,46,23,Republican,12.388888888888888
Kentucky,21.4,19,23,78,76,872.51,137.13,55.6,50.4,67.2,45.4,87.2,25,43,44,13,Republican,13.11111111111111
Louisiana,20.5,35,33,73,98,1281.55,194.78,66.4,59.7,77.5,56.7,85.9,24.9,43,41,16,Democrat,19.111111111111114
Maine,15.1,38,30,87,84,661.88,96.57,41,45.5,51.9,31.7,93.2,32.5,47,36,17,Democrat,5
Maryland,12.5,34,32,71,99,1048.78,192.7,54.2,45.2,65.4,45.4,90.6,40.9,55,31,14,Democrat,12.333333333333336
Massachusetts,8.2,23,35,87,80,1011.14,135.63,47.9,48.6,58.8,38.7,91.1,44.5,56,27,17,Democrat,8.833333333333334
Michigan,14.1,24,28,95,77,1110.61,152.26,44.4,33.9,55,35.3,91.3,30,47,34,19,Democrat,6.888888888888888
Minnesota,9.6,23,29,88,88,777.18,133.35,41.2,28.6,51.9,31.4,93.4,36.8,46,39,15,Democrat,5.1111111111111125
Mississippi,17.6,15,31,10,100,896.07,155.77,63.4,58.5,75.3,53,85.3,22.8,42,44,14,Republican,17.444444444444443
Missouri,16.1,43,34,92,84,790.32,144.45,54.5,43.5,66,44.5,90.6,29.9,42,41,18,Democrat,12.5
Montana,21.4,39,44,84,85,816.21,85.15,42.7,18.9,54.7,30.4,94,33.1,30,49,21,Republican,5.944444444444446
Nebraska,14.9,13,35,93,90,732.28,114.82,48.8,24.2,61.9,36.9,91.6,32.5,36,47,17,Republican,9.333333333333332
Nevada,14.7,37,32,95,99,1029.87,138.71,49.9,10.2,64.6,37.4,86.9,25.5,46,37,18,Democrat,9.944444444444445
New Hampshire,11.6,35,30,87,83,746.54,120.21,43.8,47.9,54.7,33.3,93.3,37.6,44,35,20,Democrat,6.555555555555554
New Jersey,11.2,16,28,86,78,1301.52,159.85,52.7,47.6,63.6,43.6,90.3,40.7,51,30,19,Democrat,11.500000000000002
New Mexico,18.4,19,27,67,98,869.85,120.75,53.4,13.8,69.5,39.4,86.5,28.1,48,37,15,Democrat,11.88888888888889
New York,12.3,32,29,88,80,1234.31,150.01,45.4,43.5,55.9,36.1,87.2,37.5,53,28,19,Democrat,7.444444444444445
North Carolina,16.8,39,31,94,81,708.24,127.82,59,50.8,70.5,48.6,88.5,32,43,41,17,Democrat,15
North Dakota,23.9,23,42,99,86,688.75,109.72,40.4,18.8,52.2,29.8,93.1,30.7,33,50,18,Republican,4.666666666666666
Ohio,14.1,28,34,99,82,697.73,133.52,50.7,41.1,61.7,41.6,90.8,28.9,40,42,18,Republican,10.388888888888891
Oklahoma,19.9,32,29,92,94,881.51,178.86,59.6,36.4,72.3,48.3,88.6,26.1,40,45,15,Republican,15.333333333333334
Oregon,12.8,33,26,67,90,804.71,104.61,48.4,32.1,59.4,36.4,91.1,34.4,47,32,21,Democrat,9.11111111111111
Pennsylvania,18.2,50,31,96,88,905.99,153.86,48.8,45,59.7,39.2,91,32.3,46,39,15,Democrat,9.333333333333332
Rhode Island,11.1,34,38,92,79,1148.99,148.58,50.1,49.1,60,41.3,89.2,35,48,30,22,Democrat,10.055555555555555
South Carolina,23.9,38,41,96,81,858.97,116.29,62.4,48.3,74.7,52,88.3,29,39,43,18,Republican,16.88888888888889
South Dakota,19.4,31,33,98,86,669.31,96.87,45.2,21.2,57.5,33.8,92.2,29.3,37,53,10,Republican,7.333333333333335
Tennessee,19.5,21,29,82,81,767.91,155.57,57.6,55.1,69.4,47.5,88.2,28.2,36,48,15,Republican,14.222222222222221
Texas,19.4,40,38,91,87,1004.75,156.83,64.8,28.6,78.1,53.5,84.4,30.7,40,39,21,Democrat,18.22222222222222
Utah,11.3,43,16,88,96,809.38,109.48,48.6,13.5,62,36.4,93,34.7,30,54,16,Republican,9.222222222222221
Vermont,13.6,30,30,96,95,716.2,109.61,42.9,46,53.4,32.7,93.5,39.7,57,29,14,Democrat,6.0555555555555545
Virginia,12.7,19,27,87,88,768.95,153.72,55.1,45.8,66.9,45.1,90.3,39.5,39,43,18,Republican,12.833333333333334
Washington,10.6,42,33,82,86,890.03,111.62,48.3,43.2,57,37.6,91.7,36.7,44,33,23,Democrat,9.055555555555554
West Virginia,23.8,34,28,97,87,992.61,152.56,51.8,47.1,63.5,41.7,87.6,21.3,41,43,16,Republican,10.999999999999998
Wisconsin,13.8,36,33,39,84,670.31,106.62,43.1,34.1,54,33.7,92.6,30.8,42,42,16,Democrat,6.166666666666668
Wyoming,17.4,42,32,81,90,791.14,122.04,42,16,55.2,29.3,93.6,28.2,25,57,18,Republican,5.555555555555555
